both,english,poly_name,n,n_or_s,l_or_p,notes
略带方言 (Slightly accented),Slightly accented,略带方言,1,Neither,Neither,"The full label for this map region was ""略带方言：内蒙，上海，浙江，江苏这一部分"" which means slightly accented varieties, including Inner Mongolia, Shanghai, Zhejiang, and Jiangsu."
福建 (Fujian),Fujian,福建,5,South,Place,Fujian province.
雷州 (Leizhou),Leizhou,雷州,1,South,Place,"Leizhou city, in Guangdong province."
维吾尔语 (Uyghur),Uyghur,维吾尔语,3,Neither,Language,Uyghur is a Turkic language spoken by the Uyghur people in Xinjiang. 
翼鲁官话 (Yilu),Yilu,翼鲁官话,1,North,Place,"Yilu Mandarin is a term used to describe the Mandarin spoken in Hebei, Tianjin, Shandong, Beijing, Shanxi, and Inner Mongolia. Yilu Mandarin is a ""term"" (or ""category"") in a similar way that Huabei Mandarin (above) is a ""term"" (or ""category"")."
胶辽官话 (Jiaoliao),Jiaoliao,胶辽官话,3,North,Place,"Jiaoliao Mandarin, a ""term"" similar to the way that Yilu Mandarin and Huabei Mandarin are ""terms"", refers to the Mandarin spoken in the peninsular parts of Shandong and Liaoning, as well as parts of Heilongjiang and Jilin."
苏州 (Suzhou),Suzhou,苏州,1,South,Place,"Suzhou city, in Jiangsu province."
蒙语 (Mongolian),Mongolian,蒙语,3,Neither,Language,Mongolian is a Mongolic language spoken by ethnic Mongols in Inner Mongolia.
藏语 (Tibetan),Tibetan,藏语,5,Neither,Language,Tibetan is a Tibetic language spoken by Tibetan people in Tibet.
西北 (Northwest),Northwest,西北,7,North,Place,"The Northwest region of China refers to Shaanxi, Gansu, Qinghai (a province not yet mentioned here), Ningxia (an autonomous region not yet mentioned here), and Xinjiang. However, when referring to just the majority-Han Chinese parts of the Northwest, people often only mean Shaanxi, Gansu, and Qinghai."
西南 (Southwest),Southwest,西南,6,South,Place,"The Southwest region of China refers to Sichuan, Chongqing (a municipality separated from Sichuan in 1997), Yunnan, Guizhou (a province not yet mentioned here), and the Qinghai-Tibet Plateau regions."
西部 (West),West,西部,1,Neither,Place,"The ""West"" officially refers to Sichuan, Guizhou, Yunnan, Chongqing, Gansu, Qinghai, Shaanxi, Ningxia, Xinjiang, and Tibet, but among Chinese people the line where ""West"" begins is not unanimously agreed on."
贵州 (Guizhou),Guizhou,贵州,2,South,Place,Guizhou province.
辽宁 (Liaoning),Liaoning,辽宁,3,North,Place,Liaoning province.
闽南话 (Southern Min),Southern Min,闽南话,18,South,Language,"Southern Min are a group of Min languages. Here specifically, this term is used to refer to specifically the Southern Min Hokkien varieties spoken in Taiwan/Fujian. Because there is a political and geopolitical boundary between Taiwan and Fujian, the term ""Taiwanese"" above was classified as Taiwanese only if the participant used the name for Taiwan (or part of the name for Taiwan) in their label. If they used ""闽南"" ('Southern Min'), it fell under this label instead. Hokkien is a specific variety that originated in the Fujian province of China. Today, though, there are many varieties/dialects/accents (fuzzy line between these ""categories"") of Hokkien and Taiwanese."
阿拉伯语 (Arabic),Arabic,阿拉伯语,1,Neither,Language,"Arabic is a Semitic language, or a term used to describe a group of Semitic varieties. I presume the particpant who used this label assumed that Arabic is spoke in Xinjiang by Uyghurs, although Uyghurs mostly speak Uyghur instead, and instead often learn Arabic specifically for religious and cultural practices."
宁夏 (Ningxia),Ningxia,宁夏,1,North,Place,"Ningxia Autonomous Region. Ningxia is home to the Hui people, an ethnic minority in China."
陕西 (Shaanxi),Shaanxi,陕西,9,North,Place,Shaanxi province.
青藏高原 (Qinghai-Tibet Plateau),Qinghai-Tibet Plateau,青藏高原,1,Neither,Place,Qinghai-Tibet Plateau is a large region that covers most of Tibet. 
